dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.168Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.170Z,"['Advanced Computing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.172Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.174Z,"['Industrial Automation & Analytics', 'Critical Technologies', 'Advanced Manufacturing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.176Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.177Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.177Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.181Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.181Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.182Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.184Z,"['Industrial Automation', 'Advanced Manufacturing Technologies', 'Critical Infrastructure']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.185Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.186Z,"['Critical Technologies', 'Equity Investment', 'Industrial Tech']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.187Z,"['Advanced Manufacturing', 'Critical Infrastructure Protection', 'Industrial Cybersecurity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.188Z,"['Advanced Computing', 'Industrial Automation', 'Critical Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.188Z,"['Industrial Automation', 'Advanced Computing', 'Critical Infrastructure']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.195Z,"['Advanced Manufacturing Technologies', 'Industrial Automation', 'Critical Infrastructure Protection']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.198Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.202Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.202Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.203Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.207Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.207Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.207Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.217Z,"['Critical Technologies', 'Equity Investment', 'Tech Innovations']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.219Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.220Z,"['Advanced Materials', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.223Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.224Z,"['Cybersecurity', 'Industrial Automation & Analytics', 'IoT']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.224Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.225Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.227Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.236Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.242Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.246Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investment']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.248Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.252Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.255Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.256Z,"['Advanced Manufacturing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.258Z,"['Advanced Computing', 'Critical Technologies', 'Equity Management']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.259Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.275Z,"['Industrial Automation & Analytics', 'Business Operations Software', 'Cybersecurity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.275Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.296Z,"['Critical Technologies', 'Equity Investment', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.299Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.313Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.317Z,"['Critical Technology', 'Equity Investment', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.354Z,"['Critical Technologies', 'Equity Investments', 'Industrial Tech']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:44:58.418Z,"['Software & Advanced Computing - General Software & Analytics', 'Electronics - Communications & Networking', 'Manufacturing - Robotics & Automation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.157Z,"['Advanced Manufacturing', 'Critical Technologies', 'Industrial Automation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.165Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.167Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.168Z,"['Industrial Automation', 'Advanced Manufacturing Technologies', 'Critical Infrastructure']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.169Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.172Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.215Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.216Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.217Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.218Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.220Z,"['Advanced Materials', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.222Z,"['Critical Technologies', 'Equity Investments', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.222Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.222Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.223Z,"['Advanced Computing', 'Quantum Computing', 'Cybersecurity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.224Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.226Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.229Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.230Z,"['Critical Technologies', 'Industrial Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.232Z,"['Critical Technologies', 'Principal Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.232Z,"['Advanced Computing', 'Critical Infrastructure', 'Equity Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.232Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.233Z,"['Advanced Manufacturing', 'Critical Infrastructure Technologies', 'Tech Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.234Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.235Z,"['Critical Technologies', 'Investment', 'Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.236Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.236Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.239Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.240Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,Other,,,2024-07-25T19:45:41.241Z,"['Advanced Computing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.243Z,"['Advanced Computing', 'Critical Technologies', 'Industrial Tech']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.243Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.250Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.251Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.252Z,"['Critical Technologies', 'Equity Investments', 'Strategic Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.266Z,"['Critical Technologies', 'Equity Investment', 'Technology Innovation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.266Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.268Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.279Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Industrial Automation']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.279Z,"['Industrial Automation & Analytics', 'Cybersecurity', 'Quantum Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.284Z,"['Critical Technologies', 'Industrial Technologies', 'Advanced Computing']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.287Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.287Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.293Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.294Z,"['Advanced Computing', 'Cybersecurity', 'Enterprise Analytics Software']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.296Z,"['Critical Technologies', 'Equity Investments', 'Advanced Technology Solutions']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.303Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.312Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'High-Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.314Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Defense Technology']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.314Z,"['Advanced Manufacturing', 'Critical Technologies', 'Industrial Innovation']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.316Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.318Z,"['Critical Technologies', 'Equity Investments', 'Technology Innovations']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.320Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.324Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.329Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.335Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.347Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.348Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.349Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.355Z,"['Advanced Sensors', 'Critical Infrastructure Technologies', 'Equity Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.361Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.361Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.377Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.390Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.394Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.395Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.396Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.397Z,"['Critical Technologies', 'Equity Investment', 'Technology Innovations']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.407Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.414Z,"['Quantum Computing', 'Cybersecurity', 'Advanced Materials']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.415Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
Roxbury Asset Management - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.421Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.424Z,"['Critical Technologies', 'Equity Investments', 'Advanced Tech Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.429Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.440Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.441Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.448Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.457Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.462Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.463Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.466Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.468Z,"['Critical Technologies', 'Equity Investments', 'Tech Venture Capital']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.468Z,"['Critical Technologies', 'Equity Investment', 'Principal Technologies']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.469Z,"['Advanced Computing', 'Cybersecurity', 'Industrial Automation & Analytics']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.472Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.473Z,"['Critical Infrastructure', 'Advanced Computing', 'Cybersecurity']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.476Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.476Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'High-Tech Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.479Z,"['Advanced Computing', 'Critical Technologies', 'Equity Investments']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.482Z,"['Critical Technologies', 'Equity Investment', 'Principal Investment']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.482Z,"['Critical Technologies', 'Equity Investment', 'Technology Solutions']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.483Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.484Z,"['Industrial Automation', 'Advanced Manufacturing', 'Critical Infrastructure Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.489Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.515Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.593Z,"['Critical Technologies', 'Industrial Automation', 'Advanced Computing']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.594Z,"['Advanced Manufacturing', 'Critical Infrastructure', 'Emerging Technologies']"
Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.595Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
 - Critical Tech Equity,Nick Fisher,,,,,2024-07-25T19:45:41.608Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Frye Louis - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T19:45:44.325Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Vibora Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.276Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Sumnicht - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.279Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
CorpMetrix - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.279Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
GTCR LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.279Z,"['Industrial Automation', 'Critical Technologies', 'Equity Investment']"
ambeacon.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.288Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
"Amentum Services, Inc. - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.289Z,"['Critical Infrastructure', 'Defense Technology', 'Security Solutions']"
Hayden Harper - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.289Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
"WEINSTEIN & FORMANEK, P.C - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.289Z,"['Critical Technologies', 'Equity Investment', 'Tech Partnerships']"
CBC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.290Z,"['Critical Technologies', 'Advanced Computing Solutions', 'Equity Investments']"
myCIO Wealth Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.291Z,"['Enterprise Analytics Software', 'Business Operations Software', 'Cybersecurity']"
Caxton - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.292Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Absolute Investment Advisers - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.294Z,"['Industrial Automation & Analytics', 'Cybersecurity', 'Enterprise Analytics Software']"
denariusfamily.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.298Z,"['Critical Technology Investment', 'Equity Funding', 'Tech Portfolio Management']"
Altfest - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.298Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
Blank Title - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.298Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Johnson Investment Counsel Inc - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.299Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Northside Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.299Z,"['Critical Technology Investments', 'Advanced Computing Equity', 'Industrial Tech Ventures']"
"Rockefeller Brothers Fund, - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.299Z,"['Critical Technology Investment', 'Equity Funding', 'Industrial Technology']"
David Bork - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.299Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
Golden LEAF Foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.300Z,"['Critical Technologies', 'Equity Funding', 'Technology Investment']"
ambfo.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.300Z,"['Advanced Computing', 'Critical Infrastructure', 'Equity Investment']"
Day & Zimmermann - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.301Z,"['Critical Technologies Investment', 'Equity Investments', 'Tech Acquisition']"
turtlecreekcap.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.301Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Alpha Strategies LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.301Z,"['Industrial Automation & Analytics', 'Enterprise Analytics Software', 'Business Operations Software']"
Color Health Inc - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.302Z,"['Healthcare Software & Analytics', 'Diagnostics', 'Medical Devices - Other']"
pritzkerff.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.304Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Convergent Wealth Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.304Z,"['Financial Technology', 'Investment Management', 'Equity Analysis']"
Lee Financial - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.305Z,"['Financial Technology', 'Equity Management', 'Investment Platforms']"
cyclonemanagement.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.305Z,"['Critical Technologies', 'Equity Management', 'Tech Investments']"
The Colorado Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.305Z,"['Critical Technologies', 'Equity Investment', 'Trust Funds']"
Leslie Sacks Gallery - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.305Z,"['Art Technology', 'Gallery Management Software', 'Digital Art Platforms']"
labyrinthcap.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.306Z,"['Equity Investment', 'Critical Technologies', 'Venture Capital']"
"Congress Asset Management Company, LLP - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.306Z,"['Financial Technology', 'Investment Management Software', 'Equity Trading Platforms']"
Carousel Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.306Z,"['Industrial Automation', 'Critical Infrastructure', 'Advanced Manufacturing']"
Catalyst Financial Planning & Investment Management Corporation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.306Z,"['Financial Planning Software', 'Investment Management Tools', 'Equity Analytics Platform']"
salientwealth.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.306Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
